# coding: utf-8
# 小鹤音形用户词库（默认和系统词条重码时居后）
# 该文件以UTF-8编码保存
# 编码各字段以制表符（Tab）分隔
# 编码格式：字词Tab编码Tab权重（权重决定重码的次序，权重大则居前，无重码则无需权重）
# 
#    === 强调一下 === 
# 
#   词条和编码之间的不是空格，而是Tab符，如果你不知道，就复制下面编码中的空白处
#   或者按住键盘 G 键，切换到功能键盘，使用上面的Tab键
# 
#    ================
# 
# 如两个用户词重码，则需加权重排序，权重大者居前，如下：
#
# 同文	tw	90
# 提问	tw	30
#
#    ================
# 虽然文本码表编辑较为方便，但不适合导入大量条目

#用户词库，下一行后开始添加。切换方案或部署后生效
# no comment
教师节	jujp
教室	jnui
她们	tamf
澳游者	ayve

# 2简提示
# 请手动附加在rime码表的后面
安保(ab)	anbc
按错(ac)	anco
安定(ad)	andk
挨饿(ae)	aiee
安分(af)	anff
昂贵(ag)	ahgv
安静(aj)	anjk
拗口(ak)	aokz
按理(al)	anl
暧昧(am)	aimw
安排(ap)	anp
安全(aq)	anqr
黯然(ar)	anrj
暗算(as)	ansr
凹凸(at)	aotu
按时(au)	anu
按照(av)	anvc
安慰(aw)	anww
爱惜(ax)	aixi
安逸(ay)	anyi
暗自(az)	anz
不饿(be)	bue
背景(bj)	bwjk
本来(bl)	bfld
并且(bq)	bkqp
不然(br)	burj
比赛(bs)	bisd
不同(bt)	buts
保证(bv)	bcvg
必须(bx)	bixu
必要(by)	biyc
不再(bz)	buzd
从不(cb)	csbu
参考(ck)	cjkc
从来(cl)	csld
聪明(cm)	csmk
才能(cn)	cdn
存盘(cp)	cyp
采取(cq)	cdqu
从头(ct)	cstz
错误(cw)	cowu
才行(cx)	cdxk
代表(db)	ddbn
得到(dd)	ded
地方(df)	difh
到了(dl)	dcle
电脑(dn)	dmn
代替(dt)	ddti
东西(dx)	dsxi
恩爱(ea)	enai
而不(eb)	erb
恩赐(ec)	enci
额度(ed)	eedu
而非(ef)	erf
恶搞(eg)	eeg
耳机(ej)	erji
儿科(ek)	erke
恶劣(el)	eel
噩梦(em)	eemg
恶评(ep)	eepk
而且(eq)	erq
饿死(es)	ees
儿童(et)	erts
二者(ev)	erv
额外(ew)	eewd
儿戏(ex)	erxi
而已(ey)	eryi
儿子(ez)	erzi
方便(fb)	fhb
分别(fb)	ffbp
讽刺(fc)	fgci
反对(fd)	fjdv
反而(fe)	fjer
非常(fi)	fwih
反馈(fk)	fjkv
费了(fl)	fwle
方面(fm)	fhmm
烦恼(fn)	fjn
分配(fp)	ffp
放弃(fq)	fhqi
否认(fr)	fzrf
放松(fs)	fhss
繁体(ft)	fjti
反正(fv)	fjvg
发现(fx)	faxm
反应(fy)	fjy
否则(fz)	fzze
根本(gb)	gfb
刚刚(gg)	ghgh
过程(gi)	goig
感觉(gj)	gjj
干嘛(gm)	gjma
功能(gn)	gsn
公平(gp)	gspk
过去(gq)	goq
公司(gs)	gss
沟通(gt)	gzts
更新(gx)	ggx
规则(gz)	gvze
何必(hb)	hebi
好处(hi)	hciu
后面(hm)	hzmm
湖南(hn)	hunj
害怕(hp)	hdpa
回去(hq)	hvq
后天(ht)	hztm
成本(ib)	igbf
尝尝(ii)	ihih
沉默(im)	ifmo
承诺(in)	ign
产品(ip)	ijpb
重启(iq)	isqi
传统(it)	irts
成为(iw)	igww
出现(ix)	iuxm
骄傲(ja)	jnao
精彩(jc)	jkcd
简单(jd)	jmdj
绝对(jd)	jtdv
金额(je)	jbe
解放(jf)	jpfh
结果(jg)	jpgo
尽管(jg)	jbgr
几乎(jh)	jihu
解决(jj)	jpjt
渐渐(jj)	jmjm
奇偶(jo)	jiou
极其(jq)	jiqi
计算(js)	jisr
今天(jt)	jbtm
简直(jv)	jmvi
极致(jv)	jivi
几位(jw)	jiww
节奏(jz)	jpzz
恐怖(kb)	ksbu
看出(ki)	kjiu
昆明(km)	kymk
可能(kn)	ken
困难(kn)	kyn
恐怕(kp)	ksp
况且(kq)	klqp
开头(kt)	kdtz
浪费(lf)	lhf
了解(lj)	lnjp
链接(lj)	lmjp
论坛(lt)	lytj
联系(lx)	lmxi
美丽(ml)	mwl
慢慢(mm)	mjm
目前(mq)	muqm
默认(mr)	mor
貌似(ms)	mcsi
明天(mt)	mkt
每天(mt)	mwtm
明知(mv)	mkv
明显(mx)	mkxm
没有(my)	mwyz
难道(nd)	njdc
努力(nl)	nuli
那些(nx)	naxp
那样(ny)	nayh
脑子(nz)	nczi
殴打(od)	ouda
偶尔(oe)	ouer
偶然(or)	ourj
呕吐(ot)	outu
欧洲(ov)	ouvz
偶像(ox)	ouxl
欧阳(oy)	ouyh
普洱(pe)	puer
漂亮(pl)	pnl
脾气(pq)	piq
骗人(pr)	pmrf
配送(ps)	pwss
平台(pt)	pktd
配置(pv)	pwv
培训(px)	pwx
亲爱(qa)	qbai
其次(qc)	qici
确定(qd)	qtdk
全额(qe)	jbe
缺乏(qf)	qtfa
奇怪(qg)	qigk
切换(qh)	qphr
期间(qj)	qijm
情况(qk)	qkk
前面(qm)	qmm
恰恰(qq)	qxq
其中(qv)	qivs
千万(qw)	qmw
亲自(qz)	qbzi
热爱(ra)	reai
日本(rb)	ribf
认得(rd)	rfde
认可(rk)	rfke
人类(rl)	rfl
人们(rm)	rfmf
热闹(rn)	ren
人品(rp)	rfpb
日期(rq)	riqi
仍然(rr)	rgrj
认同(rt)	rft
认真(rv)	rfv
认为(rw)	rfww
任务(rw)	rfwu
热线(rx)	rexm
容易(ry)	rsy
随便(sb)	svb
速度(sd)	sudu
似乎(sh)	sihu
思考(sk)	sikc
算了(sl)	srl
什么(sm)	ufme
随你(sn)	svni
索赔(sp)	sop
索取(sq)	soq
虽然(sr)	svrj
搜索(ss)	szs
洒脱(st)	sat
随着(sv)	svv
所谓(sw)	sow
思想(sx)	sixl
所以(sy)	soyi
特别(tb)	teb
推倒(td)	tvdc
头发(tf)	tzfa
推荐(tj)	tvjm
讨论(tl)	tcl
提前(tq)	tiq
天天(tt)	tmtm
淘汰(tt)	tct
台湾(tw)	tdwj
同学(tx)	tsxt
统一(ty)	tsyi
投资(tz)	tzzi
顺便(ub)	uyb
束缚(uf)	uufu
伤害(uh)	uhhd
世纪(uj)	uiji
上面(um)	uhm
熟能生巧(un)	unuq
双拼(up)	ulpb
事情(uq)	uiqk
神似(us)	ufsi
身体(ut)	ufti
试试(uu)	uiui
首先(ux)	uzxm
准备(vb)	vybw
知道(vd)	vidc
直到(vd)	vidc
